Name,Description,Icon
CFA de la Ville de Tours,Lieu:8 allée Roger Lecotté à Tours\nDomaine d'activité:centre de formation par alternance : hotellerie retauration / vente et commerce / carrosserie peinture automobile / ascenseurs,
 CAMPUS DES METIERS ET DE L'ARTISANAT 37,"Lieu:5-7 rue Joseph Cugnot à Joué-les-Tours\nDomaine d'activité:centre de formation dans 25 métiers : bouche, beauté-bien-être, mécanique, management, art et cuir, servcies à la personne
",
AFPP de Touraine,Lieu:14 Boulevard Preuilly à Tours\nDomaine d'activité:organisme de formation  professionnelle ,
BTP CFA 37,Lieu:106-112 rue Marcel Cachin à Saint Pierre des Corps\nDomaine d'activité:centre de formation pour apprentis et tout autre public ,
Centre d'Aide à la Décision de la CMA,Lieu:36-42 route de Saint Avertin à Tours\nDomaine d'activité:mise en relation des jeunes et des entreprises en vue de signer un contrat d'apprentissage ,
CESI Région Centre,"Lieu:1 allée du titane à Orléans\nDomaine d'activité:formation de BAC à BAC+5 : industrie et services ; informatique et numérique, construction ; ressources humaines",
CFA Compagnons du Devoir,"Lieu:25 rue de Franche Comté à Tours\nDomaine d'activité:Formation CAP en 2 ans : peintre, maçon, couvreur, menuisier, charpentier, boulanger, pâtissier, serrurier, carrossier constructeur, plombier, chauffagiste ",
CFA de l'académie d'Orléans-Tours,"Lieu:2 rue du carbone à Orléans\nDomaine d'activité:27 unités de formation par apprentissage réparties sur tout le territoire de la Région Centre-Val de Loire - 63 formations proposées du CAP au BAC+3 dans les secteurs de l'industrie, du bâtiment et des services",
CFA MFOE Sorigny,Lieu:18 rue des Courances à Sorigny\nDomaine d'activité:centre de formation d'apprentis : techniciens en maintenance automobile ; agricole ; travaux publics ; manutention ; parcs et jardins,
CFA Pharmacie,Lieu:5 à 7 rue Joseph Cugnot à Joué-les-Tours\nDomaine d'activité:Formations en apprentissage autour du métier de préparateur en pharmacie ,
ECF,Lieu:ZA de l'arche d'Oé - rue Willy Brandt à Notre Dame d'Oé\nDomaine d'activité:Organisme de formation spécialisé dans le domaine de la logistique et du transport,
ESCEM,Lieu:8 rue Léo Delibes à Tours\nDomaine d'activité:Enseignement supérieur,
FORCO,Lieu:\nDomaine d'activité:OPCA du commerce et de la distribution - 13 branches professionnelles accompagnées,
GRETA Indre et Loire,Lieu:Lycée Grandmont - 6 avenue de Sévigné  à Tours\nDomaine d'activité:formations professionnelles continues pour adultes dans de nombreux domaines,
IMT,Lieu:38-40 rue Marcel Dassault à Tours\nDomaine d'activité:institut de formations professionnelles pour les métiers de production des industries pharmaceutiques et cosmétiques,
IRFSS Centre -Val de Loire - Croix Rouge,Lieu:6 avenue du Pr A. Minkowski à Chambray-les-Tours\nDomaine d'activité:formation aux métiers sanitaires et sociaux,
MFR de Tours Val de Loire,"Lieu:rue du Télégraphe à Tours\nDomaine d'activité:centre de formations : Ecologie, agronomie, territoire développement durable ; Economie sociale et familiale ; Technico-commercial ; Vendeur conseil en magasin ;  Aménagement des jardins et espaces verts",
OPCALIA,Lieu:13 rue Buffon à Tours\nDomaine d'activité:organisme qui accompagne les entreprises pour optimiser leurs investissements en formation. Il est également impliqué dans la mise en œuvre de différents dispositifs qui visent à faciliter l'insertion professionnelle,
PIGIER,"Lieu:8 rue du Cygne à Tours\nDomaine d'activité:formations aux métiers du tertiaire : commerce ; communication ; assistanat administratif ; ressources humaines, métiers de l'esthétique",
Point Relais Conseil VAE,Lieu:36-42 route de Saint Avertin à Tours\nDomaine d'activité:information gratuite sur la VAE,
SUPINFO,Lieu:15 place Michelet à Tours\nDomaine d'activité:formation supérieure aux métiers du numérique : Informatique-Numérique ; Business-Innovation ; Arts et Design ; Communication-Médias,
TOURS FONDETTES AGROCAMPUS,"Lieu:CFAAD 37 - CFPPA - La Plaine à Fondettes\nDomaine d'activité:pôle d'enseignements et de formations agricoles : paysage, élagage, élevage et productions agricoles, horticulture, viticulture ",
